		interface_overlap	num_overlapping_intf_res	chain_overlap	num_overlapping_chn_res	matching_humap3_comps	min_pDockQ	min_IF_pLDDT	common_protein	protein_1	protein_2
Q13636-P31150	P31150-P51149	yes	21	yes	182	['huMAP3_11094.1', 'huMAP3_06994.1', 'huMAP3_08941.1', 'huMAP3_07302.1', 'huMAP3_09217.1']	0.495	73.58835435256536	P31150	Q13636	P51149
Q13509-Q9BQE3	Q9BUF5-Q9BQE3	yes	29	yes	440	['huMAP3_10665.1', 'huMAP3_09233.1', 'huMAP3_09603.1', 'huMAP3_09670.1', 'huMAP3_10475.1', 'huMAP3_14709.1', 'huMAP3_06977.1']	0.682	86.12963532174528	Q9BQE3	Q13509	Q9BUF5
Q9UHD8-Q16181	Q15019-Q16181	yes	49	yes	303	['huMAP3_02362.1']	0.51	71.7611493135081	Q16181	Q15019	Q9UHD8
P17661-P07197	P17661-P08670	yes	42	yes	117	['huMAP3_11715.1', 'huMAP3_10960.1']	0.728	84.63593263681162	P17661	P07197	P08670
Q99719-Q9UH03	Q14141-Q99719	yes	38	yes	294	['huMAP3_02362.1']	0.517	72.13541236084829	Q99719	Q9UH03	Q14141
Q9P0V9-Q9UH03	Q9UHD8-Q9P0V9	yes	55	yes	315	['huMAP3_02362.1']	0.618	76.17464954449255	Q9P0V9	Q9UH03	Q9UHD8
P50750-O60583	P50750-O60563	yes	21	yes	409	['huMAP3_14693.1', 'huMAP3_13608.1', 'huMAP3_01901.1', 'huMAP3_06690.1', 'huMAP3_12350.1', 'huMAP3_13960.1']	0.474	75.23739983816921	P50750	O60583	O60563
P61981-P27348	P61981-P62258	yes	19	yes	244	['huMAP3_12897.1', 'huMAP3_07596.1', 'huMAP3_09810.1', 'huMAP3_07838.1', 'huMAP3_10808.1', 'huMAP3_06971.1']	0.662	95.1161480854728	P61981	P27348	P62258
P31946-P62258	P31946-Q04917	yes	20	yes	247	['huMAP3_12897.1', 'huMAP3_07596.1', 'huMAP3_09810.1', 'huMAP3_10808.1', 'huMAP3_06971.1']	0.647	94.03882224545116	P31946	Q04917	P62258
Q16181-Q92599	Q9UH03-Q16181	yes	50	yes	305	['huMAP3_02362.1']	0.57	73.77101534711646	Q16181	Q9UH03	Q92599
P61764-O75558	Q15833-O75558	yes	49	yes	588	['huMAP3_13160.1', 'huMAP3_10606.1', 'huMAP3_09630.1', 'huMAP3_13645.1']	0.699	83.10666341806747	O75558	P61764	Q15833
Q8WUF5-P62136	P62136-Q13625	yes	20	yes	423	['huMAP3_10148.1', 'huMAP3_14504.1']	0.363	71.70402591004523	P62136	Q13625	Q8WUF5
P31150-P61006	P31150-Q15286	yes	11	yes	184	['huMAP3_08941.1', 'huMAP3_11094.1', 'huMAP3_09217.1']	0.387	72.82127593925874	P31150	Q15286	P61006
Q13098-Q9BT78	Q9UBW8-Q9BT78	no	0	yes	21	['huMAP3_09779.1', 'huMAP3_14528.1', 'huMAP3_08550.1']	0.373	84.56969979365279	Q9BT78	Q13098	Q9UBW8
Q9NVA2-Q9UH03	Q99719-Q9NVA2	yes	51	yes	267	['huMAP3_02362.1']	0.577	74.9445444373981	Q9NVA2	Q9UH03	Q99719
Q16576-O14929	Q9P2Y4-Q16576	yes	13	yes	175	['huMAP3_15128.1']	0.465	73.31302856965209	Q16576	O14929	Q9P2Y4
Q9P086-Q9NVC6	Q9BUE0-Q9NVC6	no	0	no	0	['huMAP3_02730.1']	0.501	78.92319313897396	Q9NVC6	Q9BUE0	Q9P086
O95983-Q86YP4	O95983-Q8WXI9	yes	31	yes	260	['huMAP3_09499.1', 'huMAP3_10472.1', 'huMAP3_15128.1']	0.552	83.74561869499476	O95983	Q8WXI9	Q86YP4
Q14141-Q9NVA2	Q15019-Q14141	yes	21	yes	141	['huMAP3_02362.1']	0.554	74.4790935668713	Q14141	Q15019	Q9NVA2
Q9UHD8-Q9P0V9	Q15019-Q9UHD8	yes	48	yes	281	['huMAP3_02362.1']	0.508	71.7539366212844	Q9UHD8	Q15019	Q9P0V9
Q9GZN8-P36873	P62136-P36873	no	0	yes	51	['huMAP3_14504.1']	0.238	79.11588831325112	P36873	Q9GZN8	P62136
P25787-P49720	P25787-P28070	no	0	no	0	['huMAP3_00356.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.338	86.6568920888858	P25787	P28070	P49720
Q6VN20-Q9NWU2	Q96S59-Q9NWU2	yes	51	yes	506	['huMAP3_12700.1', 'huMAP3_10711.1', 'huMAP3_08787.1', 'huMAP3_09818.1', 'huMAP3_05775.1']	0.699	85.75746670515767	Q9NWU2	Q6VN20	Q96S59
O75864-P62136	P62136-Q96QC0	yes	15	yes	257	['huMAP3_14504.1']	0.266	71.29807094446122	P62136	O75864	Q96QC0
Q9BTC8-Q16576	O95983-Q9BTC8	no	0	no	0	['huMAP3_09499.1', 'huMAP3_10472.1', 'huMAP3_15128.1']	0.257	77.44333129572611	Q9BTC8	O95983	Q16576
Q9NQT5-Q06265	Q15024-Q06265	no	0	yes	2	['huMAP3_05382.1', 'huMAP3_14264.1']	0.391	78.57290634884284	Q06265	Q9NQT5	Q15024
Q9H081-Q9H410	Q96IY1-Q9H081	no	0	yes	14	['huMAP3_01824.1', 'huMAP3_11940.1']	0.482	74.39999938116318	Q9H081	Q9H410	Q96IY1
O00487-Q99460	P43686-Q99460	no	0	yes	31	['huMAP3_05064.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.315	76.46396374314527	Q99460	P43686	O00487
Q8N488-P35226	P35226-P78364	yes	15	yes	125	['huMAP3_14051.1', 'huMAP3_10162.1']	0.352	74.19117344296394	P35226	P78364	Q8N488
Q14141-Q9NVA2	Q8WYJ6-Q14141	yes	20	yes	179	['huMAP3_02362.1']	0.607	76.21601101213798	Q14141	Q8WYJ6	Q9NVA2
Q92747-Q9BPX5	P61160-Q9BPX5	no	0	no	0	['huMAP3_14624.1', 'huMAP3_09309.1', 'huMAP3_14885.1', 'huMAP3_10743.1']	0.296	81.93068899857438	Q9BPX5	P61160	Q92747
Q52LR7-Q9NXR8	Q9NXR8-Q9HAF1	yes	10	yes	54	['huMAP3_04039.1', 'huMAP3_06087.1', 'huMAP3_10481.1', 'huMAP3_07843.1', 'huMAP3_09291.1', 'huMAP3_14306.1']	0.438	83.00417770712197	Q9NXR8	Q9HAF1	Q52LR7
Q9BXB5-O95292	O95292-Q9P0L0	no	0	yes	49	['huMAP3_08743.1', 'huMAP3_11485.1']	0.487	78.08611195715137	O95292	Q9BXB5	Q9P0L0
P25789-P28062	P28070-P28062	no	0	no	0	['huMAP3_00356.1', 'huMAP3_09656.1']	0.348	76.74847483591827	P28062	P28070	P25789
Q15046-Q13155	P14868-Q15046	yes	19	yes	57	['huMAP3_13688.1', 'huMAP3_02637.1']	0.606	84.65991884824567	Q15046	P14868	Q13155
Q9NYB9-Q9Y2A7	Q9NYB9-Q8WUW1	no	0	yes	10	['huMAP3_13345.1', 'huMAP3_09598.1']	0.627	71.47844962075693	Q9NYB9	Q9Y2A7	Q8WUW1
P62136-O60927	P62136-Q12972	yes	12	yes	45	['huMAP3_14504.1', 'huMAP3_06341.1', 'huMAP3_09354.1', 'huMAP3_09633.1', 'huMAP3_10148.1', 'huMAP3_08717.1', 'huMAP3_06304.1', 'huMAP3_08482.1']	0.388	75.41847347877973	P62136	Q12972	O60927
Q9BPX5-P59998	P61160-Q9BPX5	no	0	yes	31	['huMAP3_14624.1', 'huMAP3_09309.1', 'huMAP3_14885.1', 'huMAP3_10743.1']	0.322	81.93068899857438	Q9BPX5	P61160	P59998
P42025-P47756	P42025-O00399	yes	15	yes	95	['huMAP3_12900.1']	0.232	75.76635507194608	P42025	P47756	O00399
Q14141-Q16181	Q92599-Q16181	yes	96	yes	409	['huMAP3_02362.1']	0.719	81.31998571836499	Q16181	Q14141	Q92599
Q9BTC8-Q16576	Q16576-O14929	yes	33	yes	217	['huMAP3_15128.1']	0.569	77.44333129572611	Q16576	O14929	Q9BTC8
Q9BXJ9-Q9BSU3	Q6N069-Q9BSU3	yes	41	yes	848	['huMAP3_01027.1', 'huMAP3_13394.1', 'huMAP3_10987.1']	0.715	86.06039059574674	Q9BSU3	Q9BXJ9	Q6N069
Q13636-P31150	P31150-P61020	yes	20	yes	187	['huMAP3_08941.1', 'huMAP3_11094.1', 'huMAP3_09217.1']	0.495	74.76007825020658	P31150	Q13636	P61020
P31150-P51153	P61026-P31150	yes	12	yes	175	['huMAP3_11094.1', 'huMAP3_06994.1', 'huMAP3_08941.1', 'huMAP3_07302.1', 'huMAP3_09217.1', 'huMAP3_06607.1']	0.401	75.46513308030532	P31150	P61026	P51153
Q9HBI1-Q13418	Q9HBI1-P48059	no	0	yes	7	['huMAP3_04827.1', 'huMAP3_06647.1', 'huMAP3_09385.1', 'huMAP3_11194.1']	0.563	91.13331619920244	Q9HBI1	Q13418	P48059
Q68E01-Q9BQ15	Q9NRY2-Q68E01	no	0	yes	4	['huMAP3_13648.1', 'huMAP3_01810.1', 'huMAP3_11797.1', 'huMAP3_07627.1', 'huMAP3_10684.1']	0.536	87.03892132794915	Q68E01	Q9BQ15	Q9NRY2
Q8IY57-Q99496	Q8N488-Q99496	yes	21	yes	68	['huMAP3_09756.1', 'huMAP3_14051.1', 'huMAP3_10162.1', 'huMAP3_08622.1']	0.371	83.72085497571783	Q99496	Q8IY57	Q8N488
P31946-P62258	P62258-P63104	yes	19	yes	246	['huMAP3_12897.1', 'huMAP3_07596.1', 'huMAP3_09810.1', 'huMAP3_10808.1', 'huMAP3_06971.1']	0.647	94.03882224545116	P62258	P63104	P31946
Q8N766-Q5UCC4	Q8N766-Q9P0I2	no	0	yes	9	['huMAP3_03281.1']	0.545	81.64359009276059	Q8N766	Q9P0I2	Q5UCC4
P11908-Q14558	Q14558-O60256	yes	38	yes	318	['huMAP3_13128.1', 'huMAP3_10201.1', 'huMAP3_14146.1', 'huMAP3_11883.1', 'huMAP3_10941.1', 'huMAP3_12561.1']	0.656	86.53914317716615	Q14558	O60256	P11908
O15511-P61160	P61160-Q9BPX5	yes	11	yes	132	['huMAP3_14624.1', 'huMAP3_09309.1', 'huMAP3_14885.1', 'huMAP3_10743.1']	0.312	81.93068899857438	P61160	Q9BPX5	O15511
Q9UL63-Q9NWU2	Q9NWU2-Q9H871	yes	13	yes	359	['huMAP3_12700.1', 'huMAP3_10711.1', 'huMAP3_08787.1', 'huMAP3_09818.1', 'huMAP3_05775.1']	0.249	80.5202135678253	Q9NWU2	Q9H871	Q9UL63
Q9NZW5-Q9NUP9	Q9NUP9-Q8N3R9	yes	16	yes	289	['huMAP3_14575.1', 'huMAP3_11195.1', 'huMAP3_08481.1', 'huMAP3_09519.1']	0.374	81.75028388486258	Q9NUP9	Q9NZW5	Q8N3R9
Q9UHD8-Q9P0V9	Q9P0V9-Q14141	yes	46	yes	294	['huMAP3_02362.1']	0.631	72.79428085884561	Q9P0V9	Q14141	Q9UHD8
P25787-P25788	P25788-P28065	no	0	no	0	['huMAP3_00356.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.452	91.93316586110174	P25788	P28065	P25787
Q15019-Q99719	Q9P0V9-Q15019	yes	47	yes	315	['huMAP3_02362.1']	0.551	70.4842508087897	Q15019	Q9P0V9	Q99719
P24941-P20248	P24941-P24864	yes	38	yes	313	['huMAP3_10449.1', 'huMAP3_06587.1', 'huMAP3_14722.1']	0.609	74.69230200631293	P24941	P24864	P20248
Q8WYJ6-Q9UHD8	Q8WYJ6-Q99719	yes	42	yes	316	['huMAP3_02362.1']	0.563	73.8407217412285	Q8WYJ6	Q9UHD8	Q99719
Q15019-Q9UH03	Q14141-Q9UH03	no	0	no	0	['huMAP3_02362.1']	0.531	75.74892872740476	Q9UH03	Q15019	Q14141
P61026-P31150	Q6IQ22-P31150	yes	23	yes	199	['huMAP3_01895.1', 'huMAP3_11094.1', 'huMAP3_06994.1', 'huMAP3_08941.1', 'huMAP3_07302.1', 'huMAP3_11860.1', 'huMAP3_06607.1', 'huMAP3_09217.1']	0.526	74.33777882538585	P31150	P61026	Q6IQ22
Q6VN20-Q9H7D7	Q6VN20-Q8IVV7	no	0	no	0	['huMAP3_12700.1', 'huMAP3_10711.1', 'huMAP3_08787.1', 'huMAP3_09818.1']	0.319	85.3209283783067	Q6VN20	Q8IVV7	Q9H7D7
Q13547-Q96ST3	Q14687-Q13547	yes	25	yes	391	['huMAP3_08800.1', 'huMAP3_09031.1', 'huMAP3_15128.1']	0.263	70.44835825215644	Q13547	Q96ST3	Q14687
Q9H8T0-Q05DH4	Q9H8T0-Q8N612	yes	32	yes	780	['huMAP3_11220.1', 'huMAP3_03865.1']	0.376	71.30307882783582	Q9H8T0	Q05DH4	Q8N612
P20618-P25786	P25786-P25788	no	0	no	0	['huMAP3_00356.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.324	92.51543843221005	P25786	P25788	P20618
Q9UHV9-Q99471	O60925-Q99471	no	0	no	0	['huMAP3_14626.1', 'huMAP3_14584.1', 'huMAP3_11361.1', 'huMAP3_10942.1']	0.483	86.62324261169465	Q99471	O60925	Q9UHV9
P26038-P35241	P26038-P15311	yes	64	yes	552	['huMAP3_04321.1', 'huMAP3_10281.1']	0.701	79.30777909456202	P26038	P35241	P15311
O14770-Q9BYU1	O14770-P40425	yes	48	yes	289	['huMAP3_11161.1', 'huMAP3_10672.1']	0.656	82.55175708116018	O14770	P40425	Q9BYU1
Q13636-P31150	P31150-P61018	yes	12	yes	177	['huMAP3_01895.1', 'huMAP3_11094.1', 'huMAP3_06994.1', 'huMAP3_08941.1', 'huMAP3_11860.1', 'huMAP3_09217.1', 'huMAP3_06607.1']	0.427	74.76007825020658	P31150	Q13636	P61018
Q9HD33-Q16540	Q13084-Q9HD33	no	0	no	0	['huMAP3_09602.1', 'huMAP3_08458.1', 'huMAP3_11966.1', 'huMAP3_06550.1', 'huMAP3_08556.1', 'huMAP3_09483.1', 'huMAP3_06589.1', 'huMAP3_03763.1', 'huMAP3_09113.1', 'huMAP3_10701.1', 'huMAP3_07939.1', 'huMAP3_10538.1', 'huMAP3_06439.1']	0.426	83.42988083337796	Q9HD33	Q13084	Q16540
Q8WYJ6-Q16181	Q9P0V9-Q16181	yes	12	yes	23	['huMAP3_02362.1']	0.624	75.640824199293	Q16181	Q8WYJ6	Q9P0V9
O15514-P62487	P61218-P62487	no	0	no	0	['huMAP3_14318.1', 'huMAP3_11092.1']	0.346	94.63990902962796	P62487	O15514	P61218
Q9BQE3-P07437	Q9BUF5-Q9BQE3	yes	24	yes	435	['huMAP3_10665.1', 'huMAP3_09233.1', 'huMAP3_09603.1', 'huMAP3_09670.1', 'huMAP3_10475.1', 'huMAP3_14709.1', 'huMAP3_06977.1']	0.666	86.12963532174528	Q9BQE3	P07437	Q9BUF5
Q9BTC8-Q16576	Q86YP4-Q16576	yes	24	yes	224	['huMAP3_09499.1', 'huMAP3_10472.1', 'huMAP3_15128.1']	0.316	70.35172576611708	Q16576	Q9BTC8	Q86YP4
P31946-P61981	P61981-P27348	yes	19	yes	244	['huMAP3_12897.1', 'huMAP3_07596.1', 'huMAP3_09810.1', 'huMAP3_07838.1', 'huMAP3_10808.1', 'huMAP3_06971.1']	0.665	95.13743323097331	P61981	P27348	P31946
Q4VC05-Q92784	Q92784-Q8WUZ0	yes	13	yes	59	['huMAP3_03221.1', 'huMAP3_11470.1']	0.259	80.10596154980318	Q92784	Q8WUZ0	Q4VC05
O60826-Q7Z3J2	Q9UBI1-Q7Z3J2	no	0	yes	36	['huMAP3_14444.1', 'huMAP3_07032.1']	0.244	72.24446951881349	Q7Z3J2	Q9UBI1	O60826
Q9GZN8-P62136	P62136-P36873	no	0	yes	52	['huMAP3_14504.1']	0.238	79.31715931707814	P62136	P36873	Q9GZN8
P46926-Q9Y303	P46926-Q8TDQ7	no	0	no	0	['huMAP3_13877.1', 'huMAP3_03245.1', 'huMAP3_14440.1', 'huMAP3_14698.1', 'huMAP3_11902.1', 'huMAP3_14000.1']	0.466	89.7201775148999	P46926	Q8TDQ7	Q9Y303
Q14141-Q16181	Q14141-Q9UH03	yes	64	yes	313	['huMAP3_02362.1']	0.637	75.74892872740476	Q14141	Q9UH03	Q16181
Q8IZP0-P55160	Q8IZP0-Q9Y2A7	yes	13	yes	754	['huMAP3_13345.1', 'huMAP3_02474.1', 'huMAP3_09598.1']	0.635	70.63710338011319	Q8IZP0	Q9Y2A7	P55160
P06730-O43432	P06730-Q9UNK9	yes	26	yes	72	['huMAP3_13436.1', 'huMAP3_13122.1', 'huMAP3_08691.1', 'huMAP3_12323.1', 'huMAP3_12383.1']	0.344	79.72394659488221	P06730	O43432	Q9UNK9
Q04726-Q04727	Q08117-Q04727	yes	23	yes	94	['huMAP3_11616.1', 'huMAP3_14261.1', 'huMAP3_00022.1']	0.657	79.2532726440891	Q04727	Q08117	Q04726
P25787-P28072	P20618-P28072	no	0	no	0	['huMAP3_00356.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.38	79.93806494349161	P28072	P25787	P20618
Q9BYD2-Q13084	Q13084-Q8IXM3	no	0	yes	13	['huMAP3_09602.1', 'huMAP3_08458.1', 'huMAP3_11966.1', 'huMAP3_06550.1', 'huMAP3_08556.1', 'huMAP3_09483.1', 'huMAP3_06589.1', 'huMAP3_09113.1', 'huMAP3_10701.1', 'huMAP3_07939.1', 'huMAP3_10538.1', 'huMAP3_06439.1']	0.311	85.14375195260189	Q13084	Q9BYD2	Q8IXM3
P07814-Q13155	P07814-Q15046	no	0	no	0	['huMAP3_13688.1', 'huMAP3_02637.1']	0.45	73.01896650695474	P07814	Q15046	Q13155
O15514-P62487	P19388-P62487	no	0	yes	5	['huMAP3_14318.1', 'huMAP3_11092.1']	0.497	88.94486204595208	P62487	O15514	P19388
Q9BU61-O75489	O95182-O75489	no	0	no	0	['huMAP3_09567.1', 'huMAP3_14018.1', 'huMAP3_06397.1', 'huMAP3_14878.1', 'huMAP3_14184.1', 'huMAP3_09982.1']	0.319	77.01362938257544	O75489	O95182	Q9BU61
Q9NYB9-Q9UPY6	Q9NYB9-Q8WUW1	yes	21	yes	32	['huMAP3_13345.1', 'huMAP3_09598.1']	0.6	86.50132225315592	Q9NYB9	Q8WUW1	Q9UPY6
Q15019-Q9NVA2	Q92599-Q9NVA2	yes	58	yes	300	['huMAP3_02362.1']	0.566	73.03558153810916	Q9NVA2	Q15019	Q92599
Q15653-Q04206	Q15653-Q04864	yes	20	yes	203	['huMAP3_14474.1', 'huMAP3_05441.1']	0.252	73.72279555485197	Q15653	Q04206	Q04864
O15212-Q99471	O60925-Q99471	no	0	no	0	['huMAP3_14626.1', 'huMAP3_14584.1', 'huMAP3_10942.1']	0.483	93.90193837826308	Q99471	O60925	O15212
Q9BSJ2-Q6P582	Q9BSJ2-Q6NZ67	yes	26	yes	92	['huMAP3_14882.1', 'huMAP3_09443.1']	0.415	81.08416843755623	Q9BSJ2	Q6P582	Q6NZ67
P62826-Q14974	P62826-P43487	yes	16	yes	97	['huMAP3_12581.1', 'huMAP3_10000.1', 'huMAP3_08641.1']	0.706	83.31929280262241	P62826	Q14974	P43487
P49721-P28062	O14818-P28062	no	0	no	0	['huMAP3_00356.1', 'huMAP3_09656.1']	0.357	87.18602311048473	P28062	O14818	P49721
O75864-P62136	P62136-Q6NYC8	yes	12	yes	265	['huMAP3_09354.1', 'huMAP3_10148.1', 'huMAP3_09633.1', 'huMAP3_14504.1']	0.266	71.29807094446122	P62136	Q6NYC8	O75864
Q03013-P46439	P21266-P46439	yes	25	yes	218	['huMAP3_01673.1', 'huMAP3_14934.1']	0.717	97.15851530431496	P46439	P21266	Q03013
P17661-Q9H7C4	P41219-Q9H7C4	yes	31	yes	115	['huMAP3_11715.1']	0.734	89.59101010113125	Q9H7C4	P17661	P41219
P62714-P30153	P30153-Q16537	no	0	yes	25	['huMAP3_13510.1', 'huMAP3_09709.1', 'huMAP3_10333.1']	0.552	80.81964675171605	P30153	Q16537	P62714
P19838-Q04864	P25963-Q04864	no	0	yes	6	['huMAP3_14474.1', 'huMAP3_05441.1']	0.268	77.46661328186538	Q04864	P19838	P25963
P62191-P62195	Q99460-P62195	no	0	yes	17	['huMAP3_05064.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.239	72.66120236816174	P62195	Q99460	P62191
Q4G0F5-Q96QK1	Q9UBQ0-Q96QK1	no	0	no	0	['huMAP3_13244.1', 'huMAP3_01277.1']	0.618	92.37580168657206	Q96QK1	Q4G0F5	Q9UBQ0
P09210-O15217	P08263-O15217	yes	29	yes	222	['huMAP3_13591.1', 'huMAP3_10880.1']	0.715	95.81941568843877	O15217	P08263	P09210
P18754-P63279	P18754-P62826	no	0	yes	91	['huMAP3_07331.1', 'huMAP3_10000.1', 'huMAP3_12581.1', 'huMAP3_06494.1', 'huMAP3_08641.1']	0.376	86.12828545117767	P18754	P62826	P63279
P62699-Q9NWU2	Q9UL63-Q9NWU2	no	0	no	0	['huMAP3_12700.1', 'huMAP3_10711.1', 'huMAP3_08787.1', 'huMAP3_09818.1', 'huMAP3_05775.1']	0.247	80.5202135678253	Q9NWU2	Q9UL63	P62699
Q8IY57-Q99496	Q8IY57-Q06587	yes	16	yes	180	['huMAP3_09756.1', 'huMAP3_10162.1', 'huMAP3_06040.1', 'huMAP3_14051.1', 'huMAP3_08622.1']	0.371	83.72085497571783	Q8IY57	Q99496	Q06587
Q15363-Q13445	Q15363-Q9BVK6	yes	11	yes	80	['huMAP3_10362.1', 'huMAP3_08461.1', 'huMAP3_07118.1', 'huMAP3_11421.1', 'huMAP3_09886.1', 'huMAP3_12213.1']	0.42	78.24318793737184	Q15363	Q13445	Q9BVK6
P62714-Q16537	P30153-Q16537	no	0	no	0	['huMAP3_13510.1', 'huMAP3_09709.1', 'huMAP3_10333.1']	0.317	75.29553763451858	Q16537	P62714	P30153
Q96DF8-Q13573	Q13573-O43660	no	0	no	0	['huMAP3_09504.1', 'huMAP3_09945.1', 'huMAP3_15168.1', 'huMAP3_08501.1', 'huMAP3_09187.1']	0.492	79.87284561861362	Q13573	O43660	Q96DF8
P62826-P43487	P62826-P0DJD1	yes	23	yes	78	['huMAP3_07331.1', 'huMAP3_12581.1', 'huMAP3_10000.1', 'huMAP3_01999.1']	0.432	71.75045986263102	P62826	P43487	P0DJD1
P15408-P05412	P15336-P05412	yes	20	yes	126	['huMAP3_10133.1', 'huMAP3_15260.1', 'huMAP3_06833.1', 'huMAP3_09690.1']	0.464	89.40704138843275	P05412	P15336	P15408
P07437-Q3ZCM7	Q9BQE3-P07437	yes	22	yes	437	['huMAP3_10665.1', 'huMAP3_09233.1', 'huMAP3_09603.1', 'huMAP3_09670.1', 'huMAP3_10475.1', 'huMAP3_14709.1', 'huMAP3_06977.1']	0.59	83.89459657943895	P07437	Q9BQE3	Q3ZCM7
P31150-P61006	P31150-P61106	yes	11	yes	183	['huMAP3_01895.1', 'huMAP3_11094.1', 'huMAP3_06994.1', 'huMAP3_08941.1', 'huMAP3_07302.1', 'huMAP3_09217.1']	0.388	72.82127593925874	P31150	P61106	P61006
Q6IQ22-P31150	P31150-Q15286	yes	16	yes	179	['huMAP3_08941.1', 'huMAP3_11094.1', 'huMAP3_09217.1']	0.387	74.33777882538585	P31150	Q15286	Q6IQ22
Q8WYJ6-Q9NVA2	Q99719-Q9NVA2	yes	56	yes	322	['huMAP3_02362.1']	0.577	74.9445444373981	Q9NVA2	Q8WYJ6	Q99719
Q04917-P63104	P31946-P63104	yes	18	yes	246	['huMAP3_12897.1', 'huMAP3_07596.1', 'huMAP3_09810.1', 'huMAP3_10808.1', 'huMAP3_06971.1']	0.666	95.1423656834363	P63104	Q04917	P31946
P49721-P28070	P49720-P28070	no	0	no	0	['huMAP3_00356.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.391	86.15748143266734	P28070	P49720	P49721
O75586-Q9NVC6	Q9NVC6-Q6P2C8	no	0	no	0	['huMAP3_02730.1']	0.396	82.40826294551971	Q9NVC6	Q6P2C8	O75586
P62136-Q9H788	O75864-P62136	yes	18	yes	149	['huMAP3_14504.1', 'huMAP3_09354.1', 'huMAP3_09633.1', 'huMAP3_10148.1', 'huMAP3_08717.1', 'huMAP3_00020.1', 'huMAP3_08482.1']	0.266	71.29807094446122	P62136	Q9H788	O75864
P31150-P20338	P31150-P61020	yes	12	yes	188	['huMAP3_08941.1', 'huMAP3_11094.1', 'huMAP3_09217.1']	0.414	75.53521820133635	P31150	P20338	P61020
Q13190-Q8WVM8	Q8WVM8-Q9P2W9	yes	45	yes	249	['huMAP3_13160.1', 'huMAP3_06458.1', 'huMAP3_08929.1', 'huMAP3_10587.1']	0.645	75.82221068406353	Q8WVM8	Q13190	Q9P2W9
Q9BPX5-P59998	P59998-O15144	no	0	no	0	['huMAP3_14624.1', 'huMAP3_09309.1', 'huMAP3_14885.1', 'huMAP3_10743.1']	0.591	92.7509191966688	P59998	Q9BPX5	O15144
P62136-Q9H788	P62136-Q6NYC8	yes	16	yes	217	['huMAP3_09354.1', 'huMAP3_10148.1', 'huMAP3_09633.1', 'huMAP3_14504.1']	0.462	71.9601633772259	P62136	Q9H788	Q6NYC8
P62136-O60927	P62136-Q6NYC8	yes	12	yes	41	['huMAP3_14504.1', 'huMAP3_09354.1', 'huMAP3_09633.1', 'huMAP3_10148.1', 'huMAP3_06304.1']	0.388	71.9601633772259	P62136	Q6NYC8	O60927
Q9UNP9-Q9HCS7	Q9HCS7-Q99459	no	0	no	0	['huMAP3_09504.1', 'huMAP3_09187.1', 'huMAP3_09945.1', 'huMAP3_15168.1']	0.243	75.00940126010572	Q9HCS7	Q9UNP9	Q99459
Q9BTC8-Q8WWY6	Q8WXI9-Q8WWY6	no	0	yes	97	['huMAP3_10472.1', 'huMAP3_15128.1']	0.266	78.57949439200058	Q8WWY6	Q8WXI9	Q9BTC8
O95251-Q6IE81	Q9HAF1-Q6IE81	no	0	yes	12	['huMAP3_03602.1', 'huMAP3_08842.1']	0.399	76.65150956400045	Q6IE81	O95251	Q9HAF1
P61981-Q04917	P61981-P63104	yes	20	yes	246	['huMAP3_12897.1', 'huMAP3_07596.1', 'huMAP3_09810.1', 'huMAP3_10808.1', 'huMAP3_06971.1']	0.668	94.98186756688324	P61981	Q04917	P63104
O15145-P61158	P61158-O15144	no	0	no	0	['huMAP3_10743.1', 'huMAP3_04814.1', 'huMAP3_14624.1', 'huMAP3_13904.1', 'huMAP3_09309.1', 'huMAP3_14885.1']	0.623	91.1918806074126	P61158	O15145	O15144
Q9Y6Q5-O75843	Q9Y6Q5-O43747	yes	16	yes	633	['huMAP3_08695.1', 'huMAP3_12376.1', 'huMAP3_04311.1', 'huMAP3_05843.1', 'huMAP3_06769.1', 'huMAP3_10876.1', 'huMAP3_10762.1', 'huMAP3_13055.1', 'huMAP3_06557.1', 'huMAP3_12394.1', 'huMAP3_12918.1']	0.51	73.72108808374031	Q9Y6Q5	O75843	O43747
P25788-P25789	P25788-P28065	no	0	no	0	['huMAP3_00356.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.452	93.55171590226182	P25788	P28065	P25789
P17612-P31323	P17612-P10644	yes	39	yes	308	['huMAP3_14681.1', 'huMAP3_11135.1', 'huMAP3_13352.1']	0.689	81.47742532573356	P17612	P10644	P31323
P31150-P51153	Q13636-P31150	yes	10	yes	176	['huMAP3_11094.1', 'huMAP3_06994.1', 'huMAP3_08941.1', 'huMAP3_07302.1', 'huMAP3_09217.1', 'huMAP3_06607.1']	0.401	74.76007825020658	P31150	Q13636	P51153
