Entry	eggNOG
P20853	KOG0156;
P20908	KOG3544;
P20916	KOG4475;
P20929	
P20930	KOG3544;
P20933	KOG1593;
P20936	KOG3508;
P20941	KOG3171;
P20963	ENOG502S5AZ;
P21108	KOG1448;
P21127	KOG0663;
P21128	KOG2849;
P21145	KOG4788;
P21217	KOG2619;
P21246	ENOG502RXV7;
P21266	KOG1695;
P21281	KOG1351;
P21283	KOG2909;
P21291	KOG1700;
P21333	KOG0518;
P21359	KOG1826;
P21397	KOG0029;
P21399	KOG0452;
P21439	KOG0055;
P21452	KOG4219;
P21453	ENOG502QSFG;
P21462	KOG3656;
P21549	KOG2862;
P21554	KOG3656;
P21579	KOG1028;
P21580	KOG4345;
P21583	ENOG502QTGT;
P21589	KOG4419;
P21673	KOG3216;
P21675	KOG0008;
P21695	KOG2711;
P21709	KOG0196;
P21728	KOG3656;
P21730	ENOG502R35Z;
P21731	KOG3656;
P21741	ENOG502S022;
P21754	ENOG502QSZF;
P21757	ENOG502QUW0;
P21781	KOG3885;
P21796	KOG3126;
P21802	KOG0200;
P21810	KOG0619;
P21815	KOG1181;
P21817	KOG2243;
P21854	KOG4297;
P21860	KOG1025;
P21912	KOG3049;
P21917	
P21918	KOG3656;
P21926	KOG3882;
P21941	KOG1217;
P21953	KOG0525;
P21964	KOG1663;
P21980	ENOG502QUSX;
P22001	KOG1545;
P22003	KOG3900;
P22004	KOG3900;
P22033	ENOG502QQ7X;
P22059	KOG1737;
P22061	KOG1661;
P22079	KOG2408;
P22083	KOG2619;
P22087	KOG1596;
P22102	KOG0237;KOG3076;
P22105	KOG2579;
P22223	KOG3594;
P22234	KOG2835;
P22301	ENOG502S22U;
P22303	KOG4389;
P22304	KOG3867;
P22307	KOG1406;KOG4170;
P22309	KOG1192;
P22310	KOG1192;
P22314	KOG2012;
P22352	KOG1651;
P22362	ENOG502SZRS;
P22392	KOG0888;
P22413	KOG2645;
P22415	KOG1318;
P22455	KOG0200;
P22459	KOG1545;
P22460	KOG1545;
P22466	ENOG502RZ1E;
P22492	KOG4012;
P22528	ENOG502SCIR;
P22557	KOG1360;
P22570	KOG1800;
P22607	KOG0200;
P22612	KOG0616;
P22626	KOG0118;
P22670	KOG3712;
P22674	KOG0653;
P22680	KOG0684;
P22681	KOG1785;
P22692	ENOG502QTC8;
P22694	KOG0616;
P22695	KOG2583;
P22732	KOG0569;
P22735	ENOG502QQ46;
P22736	KOG4217;
P22748	KOG0382;
P22749	ENOG502ST3Z;
P22760	KOG1515;
P22792	KOG0619;
P22794	ENOG502S3SG;
P22830	KOG1321;
P22888	KOG2087;
P22891	KOG3627;
P22894	KOG1565;
P22897	KOG4297;
P22914	ENOG502QQAM;
P23025	KOG4017;
P23083	
P23109	KOG1096;
P23141	KOG1516;
P23142	KOG1217;
P23193	KOG1105;
P23219	KOG2408;
P23229	KOG3637;
P23246	KOG0115;
P23258	KOG1374;
P23276	KOG3624;
P23280	KOG0382;
P23284	KOG0880;
P23297	ENOG502SSF0;
P23327	ENOG502S3MW;
P23352	KOG4802;
P23368	KOG1257;
P23378	KOG2040;
P23381	KOG2145;
P23396	KOG3181;
P23409	KOG3960;
P23415	KOG3644;
P23416	KOG3644;
P23434	KOG3373;
P23435	ENOG502QVN9;
P23443	KOG0598;
P23458	KOG0197;
P23467	KOG0791;
P23468	KOG4228;
P23469	KOG4228;
P23470	KOG0382;KOG0789;
P23471	KOG0789;
P23490	ENOG502RU07;
P23497	KOG2177;
P23508	ENOG502QPWE;
P23510	ENOG502ST4X;
P23511	KOG1561;
P23515	KOG0619;
P23526	KOG1370;
P23527	KOG1744;
P23528	KOG1735;
P23560	ENOG502QRU8;
P23582	ENOG502S2QY;
P23588	KOG0118;
P23610	ENOG502QQQW;
P23634	KOG0204;
P23677	KOG1621;
P23743	KOG1169;
P23759	KOG0849;
P23760	KOG0849;
P23763	KOG0860;
P23769	KOG1601;
P23771	KOG1601;
P23786	KOG3719;
P23919	KOG3327;
P23921	KOG1112;
P23942	KOG3882;
P23945	KOG2087;
P23946	KOG3627;
P23975	KOG3659;
P24001	
P24043	KOG1836;
P24046	KOG3643;
P24071	ENOG502RCU0;
P24158	KOG3627;
P24278	KOG1721;
P24298	KOG0258;
P24310	ENOG502SBK9;
P24311	ENOG502S9DG;
P24347	KOG1565;
P24385	KOG0656;
P24386	KOG4405;
P24387	ENOG502QRNI;
P24390	KOG3106;
P24394	ENOG502S3Y8;
P24462	KOG0158;
P24468	KOG3575;
P24522	ENOG502RY8P;
P24530	KOG3656;
P24534	KOG1668;
P24539	KOG3976;
P24557	KOG0158;
P24588	ENOG502S1NI;
P24592	ENOG502QV3Q;
P24593	ENOG502QUPK;
P24666	
P24723	KOG0694;
P24752	KOG1390;
P24821	KOG1225;KOG2579;
P24844	KOG0031;
P24855	ENOG502QQFT;
P24863	KOG0794;
P24864	KOG0655;
P24903	KOG0156;
P24928	KOG0260;
P24941	KOG0594;
P25021	KOG3656;
P25024	KOG3656;
P25025	KOG3656;
P25054	KOG2122;
P25063	ENOG502RVSX;
P25067	ENOG502QRST;
P25090	KOG3656;
P25092	KOG1023;
P25098	KOG0986;
P25100	KOG3656;
P25101	KOG3656;
P25103	KOG4219;
P25105	ENOG502QTQI;
P25106	KOG3656;
P25116	ENOG502QTR0;
P25189	ENOG502QVJ0;
P25205	KOG0479;
P25208	KOG0869;
P25311	ENOG502RWW3;
P25325	KOG1529;
P25391	KOG1836;
P25398	KOG3406;
P25440	KOG1474;
P25445	ENOG502S0SV;
P25490	KOG1721;
P25685	KOG0714;
P25686	KOG0714;
P25705	KOG1353;
P25713	KOG4738;
P25774	KOG1543;
P25786	KOG0863;
P25787	KOG0181;
P25788	KOG0184;
P25789	KOG0178;
P25791	KOG0490;
P25800	KOG0490;
P25815	ENOG502S6E1;
P25874	KOG0753;
P25929	KOG3656;
P25940	KOG3544;
P25942	ENOG502S5TQ;
P25963	KOG0504;
P26006	KOG3637;
P26010	KOG1226;
P26012	KOG1226;
P26022	ENOG502QUBX;
P26038	KOG3529;
P26045	KOG0792;
P26196	KOG0326;
P26232	KOG3681;
P26358	ENOG502QPKK;
P26367	KOG0849;
P26368	KOG0120;
P26371	KOG4726;
P26373	KOG3295;
P26374	KOG4405;
P26378	KOG0145;
P26436	ENOG502QRB1;
P26439	KOG1430;
P26440	KOG0141;
P26441	ENOG502S4XX;
P26447	ENOG502S4AU;
P26572	KOG1413;
P26583	KOG0381;
P26599	KOG1190;
P26639	KOG1637;
P26640	KOG0432;KOG0867;
P26641	KOG0867;KOG1627;
P26651	KOG1677;
P26678	ENOG502S97F;
P26715	ENOG502S6IE;
P26717	ENOG502S6IE;
P26718	KOG4297;
P26842	ENOG502SBE3;
P26885	KOG0549;
P26927	ENOG502QRJ0;
P26951	ENOG502RZVR;
P26992	ENOG502QUDK;
P26998	ENOG502QTNZ;
P27037	KOG3653;
P27105	KOG2621;
P27144	KOG3078;
P27169	ENOG502S3B5;
P27216	KOG0819;
P27338	KOG0029;
P27348	KOG0841;
P27352	ENOG502RXIA;
P27361	KOG0660;
P27448	KOG0586;
P27449	KOG0232;
P27469	ENOG502S7WP;
P27487	KOG2100;
P27539	KOG3900;
P27540	KOG3561;
P27544	
P27635	KOG0857;
P27658	ENOG502QRFR;
P27694	KOG0851;
P27695	KOG1294;
P27701	KOG3882;
P27707	KOG4235;
P27708	KOG0370;
P27797	KOG0674;
P27815	KOG3689;
P27816	KOG2418;
P27824	KOG0675;
P27918	KOG4475;
P27930	ENOG502QVTS;
P27986	KOG4637;
P27987	KOG1621;
P28039	ENOG502QVQW;
P28062	KOG0175;
P28065	KOG0174;
P28066	KOG0176;
P28067	ENOG502S6RX;
P28068	ENOG502SAA4;
P28069	KOG3802;
P28070	KOG0185;
P28072	KOG0174;
P28074	KOG0175;
P28161	KOG1695;
P28221	KOG3656;
P28222	KOG3656;
P28223	KOG3656;
P28288	KOG0060;
P28289	KOG3735;
P28290	ENOG502QSG8;
P28300	ENOG502QWQR;
P28324	KOG3806;
P28325	ENOG502SC50;
P28328	KOG2879;
P28329	KOG3717;
P28330	KOG0141;
P28331	KOG2282;
P28332	KOG0022;
P28335	KOG3656;
P28336	KOG3656;
P28340	KOG0969;
P28347	KOG3841;
P28356	KOG0487;
P28358	KOG0487;
P28360	KOG0492;
P28370	KOG0385;
P28472	KOG3643;
P28476	KOG3643;
P28482	KOG0660;
P28562	KOG1716;
P28566	KOG3656;
P28676	KOG0037;
P28698	KOG1721;
P28702	KOG3575;
P28715	KOG2520;
P28749	KOG1010;
P28799	KOG4296;
P28827	KOG4228;
P28838	KOG2597;
P28845	KOG1205;
P28906	ENOG502RYP9;
P28907	ENOG502S1HV;
P28908	ENOG502SNQ9;
P29016	ENOG502SJH6;
P29017	ENOG502SJH6;
P29033	ENOG502QWM8;
P29034	ENOG502S4AU;
P29074	KOG0792;
P29083	KOG2593;
P29084	KOG3095;
P29120	KOG3525;
P29122	KOG3525;
P29144	KOG1114;
P29218	KOG2951;
P29274	KOG3656;
P29275	KOG3656;
P29279	ENOG502QQDX;
P29317	KOG0196;
P29320	KOG0196;
P29322	KOG0196;
P29323	KOG0196;
P29350	KOG0790;
P29353	KOG3697;
P29371	KOG4219;
P29372	KOG4486;
P29373	KOG4015;
P29374	KOG2744;KOG3001;
P29375	KOG1246;
P29376	KOG1095;
P29400	KOG3544;
P29401	KOG0523;
P29459	ENOG502S8JN;
P29460	ENOG502RZMA;
P29466	KOG3573;
P29474	KOG1158;
P29475	KOG1158;
P29508	KOG2392;
P29536	KOG3735;
P29558	KOG4733;
P29590	KOG2177;
P29597	KOG0197;
P29622	KOG2392;
P29692	KOG1668;
P29728	ENOG502S649;
P29803	KOG0225;
P29965	KOG3656;
P29966	ENOG502RB4V;
P29972	KOG0223;
P29973	KOG0500;
P29992	KOG0085;
P30038	KOG2455;
P30039	KOG3033;
P30040	ENOG502QSHC;
P30041	KOG0854;
P30043	ENOG502RY9R;
P30044	KOG0541;
P30046	KOG1759;
P30047	ENOG502S4A0;
P30048	KOG0852;
P30049	KOG1758;
P30050	KOG0886;
P30084	KOG1680;
P30085	KOG3079;
P30086	KOG3346;
P30101	KOG0190;
P30153	KOG0211;
P30154	KOG0211;
P30203	ENOG502QUHF;
P30260	KOG1126;
P30273	ENOG502S7XC;
P30279	KOG0656;
P30281	KOG0656;
P30291	KOG0601;
P30301	KOG0223;
P30304	KOG3772;
P30305	KOG3772;
P30307	KOG3772;
P30405	KOG0865;
P30411	ENOG502QTX6;
P30414	KOG0546;
P30419	KOG2779;
P30511	ENOG502RQEK;
P30518	KOG3656;
P30519	KOG4480;
P30520	KOG1355;
P30530	ENOG502QQQ3;
P30531	KOG3660;
P30532	KOG3645;
P30533	KOG3956;
P30536	KOG3797;
P30542	KOG3656;
P30550	KOG3656;
P30556	KOG3656;
P30559	KOG3656;
P30566	KOG2700;
P30613	KOG2323;
P30622	KOG4568;
P30626	KOG0037;
P30679	KOG0085;
P30711	
P30740	KOG2392;
P30793	KOG2698;
P30825	KOG1286;
P30837	KOG2450;
P30838	KOG2456;
P30872	KOG3656;
P30874	KOG3656;
P30876	KOG0214;
P30926	KOG3645;
P30939	KOG3656;
P30968	KOG3656;
P30988	KOG4564;
P30989	KOG3656;
P30990	ENOG502RYW6;
P31025	ENOG502S22P;
P31040	KOG2403;
P31146	KOG0303;
P31150	KOG1439;
P31151	ENOG502SZJ5;
P31152	KOG0660;
P31153	KOG1506;
P31213	KOG1638;
P31249	KOG0489;
P31260	KOG0487;
P31268	KOG0489;
P31269	KOG0487;
P31270	KOG0487;
P31271	KOG0487;
P31273	KOG0489;
P31274	KOG0487;
P31276	KOG0487;
P31314	KOG0488;
P31321	KOG1113;
P31323	KOG1113;
P31327	KOG0370;
P31350	KOG1567;
P31358	ENOG502RR9C;
P31371	KOG3885;
P31391	KOG3656;
P31415	ENOG502QQUJ;
P31431	ENOG502S1SZ;
P31483	KOG0148;
P31512	KOG1399;
P31513	KOG1399;
P31629	KOG1721;
P31639	KOG2349;
P31641	KOG3660;
P31644	KOG3642;
P31645	KOG3659;
P31689	KOG0712;
P31749	KOG0690;
P31751	KOG0690;
P31785	ENOG502S289;
P31930	KOG0960;
P31937	KOG0409;
P31939	KOG2555;
P31941	KOG4075;
P31942	KOG4211;
P31943	KOG4211;
P31944	KOG3573;
P31946	KOG0841;
P31947	KOG0841;
P31948	KOG0548;
P31949	ENOG502SS6H;
P31994	ENOG502SVEW;
P31995	
P31997	ENOG502RXPD;
P32004	KOG3513;
P32019	KOG0565;KOG4270;
P32119	KOG0852;
P32121	KOG3865;
P32189	KOG2517;
P32238	KOG3656;
P32239	KOG3656;
P32241	KOG4564;
P32242	KOG2251;
P32243	KOG2251;
P32245	KOG3656;
P32246	KOG3656;
P32247	KOG3656;
P32248	ENOG502QUZ9;
P32249	ENOG502QWD9;
P32297	KOG3645;
P32298	KOG0986;
P32302	KOG3656;
P32320	KOG0833;
P32321	KOG3127;
P32322	KOG3124;
P32418	KOG1306;
P32455	KOG2037;
P32456	KOG2037;
P32519	KOG3804;
P32745	KOG3656;
P32754	KOG0638;
P32780	KOG2074;
P32856	KOG0810;
P32881	ENOG502SQAC;
P32926	KOG3594;
P32927	ENOG502RP2T;
P32929	KOG0053;
P32942	ENOG502RZRA;
P32969	KOG3255;
P32970	ENOG502TEKD;
P32971	ENOG502S54A;
P33032	KOG3656;
P33076	KOG4308;
P33121	KOG1256;
P33151	KOG3594;
P33176	KOG0240;
P33240	KOG0108;
P33241	KOG3656;
P33260	KOG0156;
P33261	KOG0156;
P33316	KOG3370;
P33402	KOG4171;
P33527	KOG0054;
P33681	ENOG502S5B5;
P33763	ENOG502S40V;
P33764	ENOG502SSQB;
P33778	KOG1744;
P33897	KOG0064;
P33908	KOG2204;
P33947	KOG3106;
P33981	KOG0596;
P33991	KOG0478;
P33992	KOG0481;
P33993	KOG0482;
P34059	KOG3867;
P34096	ENOG502S9Q1;
P34130	ENOG502R4FK;
P34741	ENOG502RZ6V;
P34810	KOG4818;
P34896	KOG2467;
P34897	KOG2467;
P34903	KOG3642;
P34910	ENOG502S3T8;
P34913	KOG3085;KOG4178;
P34925	KOG1024;
P34931	KOG0101;
P34932	KOG0103;
P34947	KOG0986;
P34949	KOG2757;
P34969	KOG3656;
P34972	KOG3656;
P34981	KOG3656;
P34982	ENOG502T9JB;
P34998	KOG4564;
P35030	KOG3627;
P35052	KOG3821;
P35070	ENOG502RZHQ;
P35080	KOG1755;
P35125	KOG1102;KOG1870;
P35212	ENOG502QU20;
P35218	KOG0382;
P35219	KOG0382;
P35221	KOG3681;
P35222	KOG4203;
P35225	ENOG502SZKX;
P35226	KOG2660;
P35227	KOG2660;
P35228	KOG1158;
P35232	KOG3083;
P35236	KOG0789;
P35237	KOG2392;
P35240	KOG3529;
P35241	KOG3529;
P35243	KOG0044;
P35244	ENOG502S203;
P35247	KOG4297;
P35249	KOG0989;
P35250	KOG0991;
P35251	KOG1968;
P35268	KOG3434;
P35269	KOG2393;
P35270	KOG1204;
P35318	ENOG502S4SF;
P35321	ENOG502SCIR;
P35326	ENOG502TEHF;
P35346	KOG3656;
P35348	KOG3656;
P35354	KOG2408;
P35367	KOG4220;
P35368	KOG3656;
P35372	KOG3656;
P35398	KOG4216;
P35408	KOG3656;
P35414	KOG3656;
P35442	ENOG502QRK8;
P35443	ENOG502QRK8;
P35452	KOG0487;
P35453	KOG0487;
P35462	KOG3656;
P35475	ENOG502QRES;
P35498	KOG2301;
P35499	KOG2301;
P35503	KOG1192;
P35504	KOG1192;
P35520	
P35523	KOG0476;
P35527	ENOG502QTM6;
P35548	KOG0492;
P35555	KOG1217;
P35556	KOG1217;
P35557	KOG1369;
P35558	KOG3749;
P35568	ENOG502QUNU;
P35573	KOG3625;
P35575	ENOG502QS9B;
P35579	KOG0161;
P35580	KOG0160;KOG0161;
P35590	KOG0200;
P35606	KOG0276;
P35609	KOG0035;
P35610	KOG0380;
P35611	KOG3699;
P35612	KOG3699;
P35613	ENOG502QPKN;
P35625	KOG4745;
P35626	KOG0986;
P35637	KOG1995;
P35638	KOG3119;
P35658	KOG3630;
P35659	KOG2266;
P35670	KOG0207;
P35680	ENOG502QRPW;
P35711	KOG0528;
P35712	KOG0528;
P35713	KOG0527;
P35716	KOG0527;
P35749	KOG0161;
P35754	KOG1752;
P35789	KOG1721;
P35790	KOG2686;
P35813	KOG0697;
P35858	KOG0619;
P35869	KOG3560;
P35900	ENOG502QUY3;
P35908	ENOG502QTM6;
P35913	KOG3689;
P35914	KOG2368;
P35916	KOG0200;
P35968	KOG0200;
P35998	KOG0729;
P36021	KOG2504;
P36222	KOG2806;
P36268	KOG2410;
P36269	KOG2410;
P36382	ENOG502QW11;
P36383	ENOG502QV2G;
P36402	KOG3248;
P36404	KOG0073;
P36405	KOG0074;
P36406	KOG0070;KOG4185;
P36507	KOG0581;
P36508	KOG1721;
P36542	KOG1531;
P36543	KOG1664;
P36544	KOG3646;
P36551	KOG1518;
P36575	KOG3865;
P36578	KOG1475;
P36639	ENOG502S254;
P36776	KOG2004;
P36871	KOG0625;
P36873	KOG0374;
P36888	KOG0200;
P36894	KOG2052;
P36896	KOG2052;
P36897	KOG2052;
P36941	ENOG502S4WF;
P36952	KOG2392;
P36954	KOG2691;
P36955	KOG2392;
P36956	KOG2588;
P36957	KOG0559;
P36959	KOG2550;
P36969	KOG1651;
P36980	ENOG502RTVV;
P37023	KOG2052;
P37058	KOG1014;
P37059	KOG1610;
P37088	KOG4294;
P37108	KOG1761;
P37173	KOG3653;
P37198	KOG2196;
P37231	KOG3575;
P37235	KOG0044;
P37268	KOG1459;
P37275	KOG3623;
P37287	KOG1111;
P37288	KOG3656;
P37802	KOG2046;
P37837	KOG2772;
P37840	ENOG502S0Q7;
P38117	KOG3180;
P38159	ENOG502QS9N;
P38398	KOG4362;
P38405	KOG0099;
P38432	ENOG502QVWV;
P38435	ENOG502QRU2;
P38484	ENOG502S6E7;
P38567	ENOG502R6HD;
P38570	KOG3637;
P38571	KOG2624;
P38606	KOG1352;
P38646	KOG0102;
P38919	KOG0328;
P38935	KOG1803;
P38936	KOG4743;
P39019	KOG3411;
P39023	KOG0746;
P39059	KOG3546;
P39060	KOG3546;
P39086	KOG1052;
P39210	KOG1944;
P39656	KOG2754;
P39687	KOG2739;
P39748	KOG2519;
P39877	KOG4087;
P39880	KOG0963;KOG2252;
P39900	KOG1565;
P39905	ENOG502QWCH;
P40121	KOG0443;
P40123	KOG2675;
P40126	ENOG502QRNA;
P40145	KOG3619;
P40189	ENOG502QXEG;
P40197	KOG0619;
P40198	ENOG502S42Z;
P40199	ENOG502RXPD;
P40200	ENOG502QWNP;
P40222	KOG1850;
P40225	ENOG502S9T0;
P40227	KOG0359;
P40238	ENOG502RYN1;
P40259	ENOG502S7X8;
P40261	KOG4564;
P40305	ENOG502S85T;
P40306	KOG0173;
P40337	KOG4710;
P40394	KOG0022;
P40424	KOG0774;
P40425	KOG0774;
P40426	KOG0774;
P40429	KOG3204;
P40616	KOG0072;
P40617	KOG0070;
P40692	KOG1979;
P40763	KOG3667;
P40818	KOG1868;
P40855	KOG3133;
P40879	KOG0236;
P40925	KOG1496;
P40926	KOG1494;
P40933	ENOG502SCMF;
P40937	KOG0990;
P40938	KOG2035;
P40939	KOG1683;
P40967	ENOG502QV5K;
P41002	KOG0654;
P41091	KOG0466;
P41134	ENOG502RZP5;
P41143	KOG3656;
P41145	KOG3656;
P41146	KOG3656;
P41159	ENOG502S5K5;
P41161	KOG3806;
P41162	KOG3806;
P41180	KOG1056;
P41181	KOG0223;
P41182	KOG1721;
P41208	KOG0028;
P41212	KOG3804;
P41214	KOG2522;
P41217	ENOG502S5DU;
P41218	ENOG502QTQS;
P41219	ENOG502QPSH;
P41220	KOG3589;
P41221	KOG3913;
P41222	ENOG502S6GK;
P41223	KOG3404;
P41225	KOG0527;
P41226	KOG2012;
P41227	KOG3235;
P41229	KOG1246;
P41231	ENOG502QSTF;
P41235	KOG4215;
P41236	KOG4041;
P41238	ENOG502SNW2;
P41240	KOG0197;
P41247	KOG3773;
P41250	KOG2298;
P41252	KOG0434;
P41271	ENOG502RYP0;
P41273	ENOG502SSK0;
P41279	KOG0201;
P41439	KOG3656;
P41440	KOG3810;
P41567	KOG1770;
P41586	KOG4564;
P41587	KOG4564;
P41594	KOG1056;
P41595	KOG3656;
P41597	KOG3656;
P41732	KOG3882;
P41743	KOG0695;
P41968	KOG3656;
P41970	KOG3806;
P42025	KOG0676;
P42081	ENOG502S1FF;
P42126	KOG1683;
P42127	ENOG502S5XF;
P42166	ENOG502QWCI;
P42167	
P42224	KOG3667;
P42226	KOG3667;
P42229	KOG3667;
P42261	KOG1054;
P42262	KOG1054;
P42263	KOG1054;
P42285	KOG0948;
P42330	KOG1577;
P42331	KOG4270;
P42336	KOG0904;
P42338	KOG0904;
P42345	KOG0891;
P42356	KOG0902;
P42566	KOG0998;
P42568	KOG3149;
P42574	KOG3573;
P42575	KOG3573;
P42658	KOG2100;
P42677	KOG1779;
P42679	KOG0197;
P42680	KOG0197;
P42681	KOG0197;
P42684	KOG4278;
P42685	KOG0197;
P42694	KOG1804;
P42695	KOG0413;
P42701	ENOG502S2KP;
P42702	ENOG502QQF6;
P42704	KOG4318;
P42765	KOG1391;
P42766	KOG3436;
P42768	KOG3671;
P42771	KOG0504;
P42772	KOG0504;
P42773	KOG0504;
P42785	KOG2183;
P42830	ENOG502S7MM;
P42857	ENOG502QSAI;
P42858	ENOG502QR1D;
P42892	KOG3624;
P42898	KOG0564;
P43003	KOG3787;
P43004	KOG3787;
P43005	KOG3787;
P43007	KOG3787;
P43026	KOG3900;
P43034	KOG0295;
P43080	KOG0044;
P43088	KOG3656;
P43115	KOG3656;
P43119	KOG3656;
P43121	ENOG502QV1U;
P43146	KOG4221;
P43155	KOG3717;
P43166	KOG0382;
P43220	KOG4564;
P43234	KOG1542;
P43235	KOG1543;
P43243	ENOG502QRVG;
P43246	KOG0219;
P43250	KOG0986;
P43251	KOG0806;
P43268	KOG3806;
P43304	KOG0042;
P43307	KOG1631;
P43320	ENOG502QVM6;
P43351	KOG4141;
P43353	KOG2456;
P43354	KOG4217;
P43355	KOG4562;
P43356	KOG4562;
P43357	KOG4562;
P43358	KOG4562;
P43360	KOG4562;
P43361	KOG4562;
P43364	KOG4562;
P43365	KOG4562;
P43378	ENOG502QR81;
P43403	ENOG502QT06;
P43405	ENOG502QT06;
P43487	KOG0864;
P43489	ENOG502SB1F;
P43490	ENOG502QSGN;
P43626	ENOG502RU21;
P43628	ENOG502RU21;
P43629	ENOG502RU21;
P43630	ENOG502RU21;
P43631	
P43632	
P43652	ENOG502R7EA;
P43657	ENOG502QSC2;
P43681	KOG3645;
P43686	KOG0727;
P43694	KOG1601;
P43699	KOG0842;
P43897	KOG1071;
P45378	KOG3634;
P45379	KOG3634;
P45381	ENOG502QRAK;
P45452	KOG1565;
P45844	KOG0061;
P45877	KOG0880;
P45880	KOG3126;
P45954	KOG0139;
P45973	KOG1911;
P45974	KOG0944;
P45983	KOG0665;
P45984	KOG0665;
P45985	KOG1006;
P46013	ENOG502QRVV;
P46019	KOG3635;
P46020	KOG3635;
P46059	KOG1237;
P46060	KOG1909;
P46063	KOG0353;
P46087	KOG1122;
P46089	KOG3656;
P46091	KOG3656;
P46092	KOG3656;
P46093	ENOG502QS9G;
P46094	KOG3656;
P46098	KOG3645;
P46100	KOG1015;
P46108	KOG4792;
P46109	KOG4792;
P46199	KOG1145;
P46379	KOG4248;
P46439	KOG1695;
P46459	KOG0741;
P46527	KOG4743;
P46531	KOG1217;
P46597	KOG3178;
P46663	KOG3656;
P46695	ENOG502S3QE;
P46721	KOG3626;
P46734	KOG0984;
P46736	KOG1555;
P46776	KOG1742;
P46777	KOG0875;
P46778	KOG1732;
P46779	KOG3412;
P46781	KOG3301;
P46782	KOG3291;
P46783	KOG3344;
P46821	KOG3592;
P46926	KOG3148;
P46934	KOG0940;
P46937	KOG0940;
P46939	KOG4286;
P46940	KOG2128;
P46952	KOG3995;
P46976	KOG1950;
P46977	KOG2292;
P47211	KOG3656;
P47224	KOG4113;
P47710	ENOG502TEWT;
P47712	KOG1012;KOG1325;
P47736	KOG3686;
P47755	KOG0836;
P47756	KOG3174;
P47804	KOG3656;
P47813	KOG3403;
P47869	KOG3642;
P47870	KOG3643;
P47871	KOG4564;
P47872	KOG4564;
P47895	KOG2450;
P47897	KOG1148;
P47898	KOG3656;
P47900	ENOG502QWPV;
P47901	KOG3656;
P47902	KOG0848;
P47914	KOG3504;
P47928	ENOG502S1WX;
P47929	KOG3587;
P47974	KOG1677;
P47985	KOG1671;
P47989	KOG0430;
P47992	ENOG502S6ZP;
P48023	ENOG502S09I;
P48029	KOG3660;
P48039	KOG3656;
P48047	KOG1662;
P48048	KOG3827;
P48050	KOG3827;
P48051	KOG3827;
P48052	KOG2650;
P48058	KOG1054;
P48059	KOG2272;
P48061	ENOG502S54U;
P48065	KOG3660;
P48066	KOG3660;
P48067	KOG3660;
P48145	KOG3656;
P48146	KOG3656;
P48147	KOG2237;
P48163	KOG1257;
P48165	ENOG502QV1K;
P48167	KOG3644;
P48169	KOG3642;
P48200	KOG0452;
P48201	KOG3025;
P48230	ENOG502QVGK;
P48304	KOG4297;
P48307	KOG4295;
P48357	ENOG502RK5B;
P48378	KOG3712;
P48380	KOG3712;
P48382	KOG3712;
P48426	KOG0229;
P48431	KOG0527;
P48436	KOG0527;
P48443	KOG3575;
P48444	KOG2635;
P48448	KOG2456;
P48449	KOG0497;
P48454	KOG0375;
P48506	KOG3754;
P48507	KOG3023;
P48509	KOG3882;
P48539	ENOG502STZW;
P48544	KOG3827;
P48546	KOG4564;
P48547	KOG3713;
P48549	KOG3827;
P48551	ENOG502S60E;
P48552	ENOG502QS1C;
P48553	KOG1931;
P48556	KOG3151;
P48594	KOG2392;
P48595	KOG2392;
P48634	KOG4817;
P48637	KOG0021;
P48643	KOG0357;
P48645	ENOG502S36R;
P48651	KOG2735;
P48664	KOG3787;
P48668	ENOG502QURK;
P48681	ENOG502RYFK;
P48723	KOG0101;
P48728	KOG2770;
P48729	KOG1163;
P48730	KOG1164;
P48735	KOG1526;
P48736	KOG0904;
P48739	KOG3668;
P48740	
P48742	KOG0490;
P48745	ENOG502QR9V;
P48751	KOG1172;
P48764	KOG1966;
P48775	KOG3906;
P48788	KOG3977;
P48960	KOG4193;
P48995	KOG3609;
P49005	KOG2732;
P49006	ENOG502RYXK;
P49019	KOG3656;
P49023	KOG1703;
P49069	ENOG502QVCE;
P49116	KOG3575;
P49137	KOG0604;
P49146	KOG3656;
P49184	ENOG502QPNY;
P49189	KOG2450;
P49190	KOG4564;
P49207	KOG1790;
P49221	ENOG502QQ46;
P49238	ENOG502QVQK;
P49247	KOG3075;
P49257	KOG3838;
P49279	KOG1291;
P49281	KOG1291;
P49286	KOG3656;
P49321	KOG4563;
P49326	KOG1399;
P49327	KOG1202;
P49335	KOG3802;
P49336	KOG0666;
P49354	KOG0530;
P49356	KOG0365;
P49366	KOG2924;
P49368	KOG0364;
P49407	KOG3865;
P49411	KOG0460;
P49418	KOG3771;
P49419	KOG2453;
P49427	KOG0425;
P49447	KOG1619;
P49448	KOG2250;
P49450	KOG1745;
P49454	ENOG502QVMD;
P49458	KOG3465;
P49459	KOG0419;
P49585	KOG2804;
P49588	KOG0188;
P49589	KOG1668;KOG2007;
P49590	KOG1936;
P49591	KOG2509;
P49593	KOG0698;
P49619	KOG1169;
P49638	KOG1471;
P49639	KOG0489;
P49640	KOG0844;
P49641	KOG1958;
P49642	KOG2851;
P49643	KOG2267;
P49662	KOG3573;
P49674	KOG1164;
P49675	KOG3845;
P49682	KOG3656;
