		interface_overlap	num_overlapping_intf_res	chain_overlap	num_overlapping_chn_res	matching_humap3_comps	min_pDockQ	min_IF_pLDDT	common_protein	protein_1	protein_2	cmmn_p_homodimer	covariation_score	pair1_pdbs	pair2_pdbs	mutual_pair_structures	pair_struct_annot
P15408-P17535	P15408-P05412	yes	26	yes	170	['huMAP3_10133.1', 'huMAP3_15260.1', 'huMAP3_06833.1', 'huMAP3_09690.1']	0.511	87.74121570532087	P15408	P17535	P05412	yes	0.45	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
Q96CW5-Q9BSJ2	Q9BSJ2-Q6NZ67	no	0	yes	98	['huMAP3_14882.1', 'huMAP3_00522.1', 'huMAP3_09443.1', 'huMAP3_12213.1']	0.415	77.13206496597442	Q9BSJ2	Q6NZ67	Q96CW5	no	0.22	{'7QJ5', '7QJ7', '6V6B', '8Q62', '7AS4', '7QJB', '7QJD', '7QJA', '7QJ0', '8VRJ', '6V6S', '7QJ3', '8VRD', '7QJ2', '7QJ6', '7QJ1', '7QJC', '7QJ8', '8VRK', '7QJ9', '7QJ4'}	{'No overlap'}	{'No mutual structures'}	no structural evidence
O15482-O75069	O15482-O94876	yes	29	yes	293	['huMAP3_11632.1', 'huMAP3_13734.1']	0.506	72.15355803485508	O15482	O75069	O94876	no	0.068	{'None'}	{'None'}	{'None'}	no structural evidence
Q13895-P78316	Q13895-Q96GA3	yes	29	yes	90	['huMAP3_05933.1', 'huMAP3_11966.1', 'huMAP3_09015.1', 'huMAP3_07654.1', 'huMAP3_10538.1']	0.491	75.29661032167802	Q13895	P78316	Q96GA3	no	0.2	{'No overlap'}	{'7WTW', '6G4W', '7WTZ', '7WU0', '6G18', '7WTX', '7WTU', '6G4S', '7WTT'}	{'No mutual structures'}	no structural evidence
O43402-Q15006	Q9Y3B6-Q15006	yes	30	yes	200	['huMAP3_03281.1', 'huMAP3_12199.1', 'huMAP3_14641.1']	0.701	89.00292799484286	Q15006	Q9Y3B6	O43402	no	0.288	{'8S9S', '8J0N', '8J0O', '7ADO', '7ADP', '8EOI', '6WW7'}	{'6Z3W', '6Y4L'}	{'No mutual structures'}	no structural evidence
P31150-P51153	P31150-P61018	yes	11	yes	177	['huMAP3_11094.1', 'huMAP3_06994.1', 'huMAP3_08941.1', 'huMAP3_09217.1', 'huMAP3_06607.1']	0.401	75.42474819459197	P31150	P51153	P61018	no	0.028	{'None'}	{'No overlap'}	{'No mutual structures'}	no structural evidence
O95782-P63010	Q96CW1-O95782	no	0	yes	56	['huMAP3_08540.1', 'huMAP3_08320.1', 'huMAP3_09403.1', 'huMAP3_09107.1', 'huMAP3_10876.1', 'huMAP3_06283.1', 'huMAP3_10762.1', 'huMAP3_12394.1', 'huMAP3_05849.1', 'huMAP3_12918.1']	0.232	74.31206938835614	O95782	P63010	Q96CW1	no	0.826	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
Q9HCS7-Q99459	O75934-Q99459	no	0	no	0	['huMAP3_09504.1', 'huMAP3_09187.1', 'huMAP3_09945.1', 'huMAP3_15168.1']	0.283	75.00940126010572	Q99459	Q9HCS7	O75934	no	0.644	{'7W59', '5Z57', '6ICZ', '7A5P', '8C6J', '7W5B', '5XJC', '6ID0', '6FF7', '6ID1', '5Z56', '6QDV', '8CH6', '5YZG', '7ABI', '7W5A', '5MQF'}	{'7W59', '5Z57', '6ICZ', '7A5P', '8C6J', '7W5B', '5XJC', '6ID0', '6FF7', '6ID1', '5Z56', '6QDV', '8CH6', '5YZG', '7W5A', '5MQF'}	{'7W59', '5Z57', '6ICZ', '7A5P', '8C6J', '7W5B', '5XJC', '6ID0', '6FF7', '6ID1', '5Z56', '6QDV', '8CH6', '5YZG', '7W5A', '5MQF'}	yes structural evidence
Q9HC52-P35227	Q8N488-P35227	yes	17	yes	41	['huMAP3_14051.1', 'huMAP3_10162.1']	0.39	77.04744020367981	P35227	Q9HC52	Q8N488	yes	0.126	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
P19388-O95602	O95602-Q9GZS1	no	0	no	0	['huMAP3_06426.1', 'huMAP3_00807.1', 'huMAP3_11092.1', 'huMAP3_09057.1', 'huMAP3_08487.1', 'huMAP3_14318.1']	0.476	72.65787489198938	O95602	Q9GZS1	P19388	no	0.252	{'7OBB', '8A43', '7OB9', '7OBA', '7VBB', '7VBA', '7VBC'}	{'7OBB', '8A43', '7OB9', '7OBA', '7VBB', '7VBA', '7VBC'}	{'7OBB', '8A43', '7OB9', '7OBA', '7VBB', '7VBA', '7VBC'}	yes structural evidence
Q6I9Y2-Q13769	Q13769-Q96FV9	no	0	yes	3	['huMAP3_09101.1', 'huMAP3_11966.1', 'huMAP3_13659.1', 'huMAP3_02553.1', 'huMAP3_07273.1', 'huMAP3_08233.1', 'huMAP3_04932.1', 'huMAP3_09943.1', 'huMAP3_10789.1', 'huMAP3_13461.1', 'huMAP3_10299.1', 'huMAP3_12548.1', 'huMAP3_08111.1']	0.476	73.08169911915371	Q13769	Q6I9Y2	Q96FV9	no	0.55	{'7ZNK', '7APK', '7ZNL'}	{'7ZNK', '7APK', '7ZNL'}	{'7ZNK', '7ZNL', '7APK'}	yes structural evidence
P09012-P09661	P09012-P62314	no	0	yes	42	['huMAP3_09187.1', 'huMAP3_06511.1', 'huMAP3_08980.1', 'huMAP3_15168.1']	0.425	87.64723450703417	P09012	P62314	P09661	no	0.794	{'6QX9', '7VPX'}	{'6QX9', '3PGW', '7B0Y', '7VPX'}	{'6QX9', '7VPX'}	yes structural evidence
P31150-P51151	P31150-P61018	yes	21	yes	179	['huMAP3_01895.1', 'huMAP3_11094.1', 'huMAP3_06994.1', 'huMAP3_08941.1', 'huMAP3_11860.1', 'huMAP3_09217.1']	0.427	75.42474819459197	P31150	P51151	P61018	no	0.088	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
Q15363-Q7Z7H5	Q15363-P49755	no	0	yes	17	['huMAP3_10362.1', 'huMAP3_08461.1', 'huMAP3_07118.1', 'huMAP3_11421.1', 'huMAP3_09886.1', 'huMAP3_12213.1']	0.629	80.00437350077569	Q15363	P49755	Q7Z7H5	no	0.928	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
P62136-O60927	Q99622-P62136	no	0	no	0	['huMAP3_14504.1', 'huMAP3_09354.1', 'huMAP3_09633.1', 'huMAP3_10148.1', 'huMAP3_08717.1', 'huMAP3_06304.1', 'huMAP3_08482.1']	0.329	75.41847347877973	P62136	Q99622	O60927	no	0.038	{'8DWK', '8U5G', '8DWL'}	{'No overlap'}	{'No mutual structures'}	no structural evidence
Q9UNP9-Q9HCS7	O95926-Q9HCS7	no	0	yes	20	['huMAP3_09504.1', 'huMAP3_06429.1', 'huMAP3_06726.1', 'huMAP3_09945.1', 'huMAP3_08703.1', 'huMAP3_15168.1', 'huMAP3_08501.1', 'huMAP3_09187.1']	0.243	82.70757348375324	Q9HCS7	Q9UNP9	O95926	no	0.494	{'7W59', '5Z57', '6ICZ', '7A5P', '8C6J', '7W5B', '6ID0', '6FF7', '6ID1', '5Z56', '8CH6', '5YZG', '7ABI', '7W5A', '5MQF'}	{'7W59', '6ICZ', '7A5P', '8C6J', '7W5B', '5XJC', '6ID0', '6ID1', '6QDV', '5YZG', '7W5A', '5MQF'}	{'7W59', '6ICZ', '7A5P', '8C6J', '7W5B', '6ID0', '6ID1', '5YZG', '7W5A', '5MQF'}	yes structural evidence
P40429-P18077	P40429-P62244	no	0	no	0	['huMAP3_05933.1', 'huMAP3_11966.1', 'huMAP3_09015.1', 'huMAP3_07654.1', 'huMAP3_10538.1']	0.236	78.97317975235987	P40429	P18077	P62244	no	1.0	{'8G60', '8IE3', '6W6L', '8FKU', '8FKW', '6OLG', '8OHD', '8FKZ', '8G5Y', '8G5Z', '8FL3', '5AJ0', '8OJ5', '8JDM', '5LKS', '6LSR', '4V6X', '6LSS', '6QZP', '6Z6N', '5T2C', '7OW7', '6LQM', '8IDT', '8FKS', '8IPY', '8FL6', '6Y2L', '8QOI', '6OLE', '8FKV', '8IR3', '8JDL', '8FL9', '7F5S', '8IPD', '8OJ8', '6Y0G', '8JDJ', '8A3D', '6OM7', '4UG0', '8FLA', '6OLI', '6ZMI', '8Y0X', '8INK', '8QFD', '8FLE', '8FKP', '6ZM7', '6OM0', '6IP6', '6IP5', '6IP8', '8FL4', '8IDY', '8FLF', '8FLD', '8FLC', '8FLB', '6ZMO', '8JDK', '8INF', '6Y57', '8FL0', '7QVP', '8IPX', '7BHP', '6XA1', '6Z6M', '8INE', '6OLZ', '8FL2', '8Y0W', '6Y6X', '8FL7', '6ZME', '8GLP', '8G61', '8FKY', '8G6J', '8IR1', '6Z6L', '8FKT', '8FKR', '8IFE', '6OLF', '7XNX', '8OJ0', '8FKX', '8IFD', '8FKQ', '7XNY', '6LU8'}	{'6IP6', '8G60', '6Y2L', '8QOI', '8Y0W', '6OLE', '6IP5', '6IP8', '6ZME', '6OLG', '8GLP', '8G5Y', '8G61', '8G5Z', '8JDL', '5AJ0', '8G6J', '6Z6L', '6Y0G', '8JDM', '8JDJ', '6ZMO', '8JDK', '5LKS', '4V6X', '8IFE', '6Y57', '6OLF', '6OM7', '6QZP', '4UG0', '6OLI', '6XA1', '6ZMI', '7XNX', '6Z6N', '6Z6M', '5T2C', '8Y0X', '8IFD', '7XNY', '6ZM7', '6OM0', '6OLZ'}	{'6IP6', '8G60', '6Y2L', '8QOI', '8Y0W', '6OLE', '6IP5', '6IP8', '6ZME', '6OLG', '8GLP', '8G5Y', '8G61', '8G5Z', '8JDL', '5AJ0', '8G6J', '6Z6L', '6Y0G', '8JDM', '8JDJ', '6ZMO', '8JDK', '5LKS', '4V6X', '8IFE', '6Y57', '6OLF', '6OM7', '6QZP', '4UG0', '6OLI', '6XA1', '6ZMI', '7XNX', '6Z6N', '6Z6M', '5T2C', '8Y0X', '8IFD', '7XNY', '6ZM7', '6OM0', '6OLZ'}	yes structural evidence
P56192-Q13155	Q13155-Q12904	no	0	yes	43	['huMAP3_13688.1', 'huMAP3_02637.1']	0.232	76.57709203947041	Q13155	P56192	Q12904	yes	0.784	{'5Y6L'}	{'8J9S'}	{'No mutual structures'}	no structural evidence
Q9UHD8-Q92599	Q92599-Q9NVA2	yes	20	yes	90	['huMAP3_02362.1']	0.67	76.9071869710688	Q92599	Q9UHD8	Q9NVA2	yes	0.288	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
Q9Y3C0-Q641Q2	Q9Y4E1-Q9Y3C0	yes	19	yes	510	['huMAP3_12900.1', 'huMAP3_10870.1']	0.429	83.41312149477628	Q9Y3C0	Q641Q2	Q9Y4E1	no	0.332	{'No overlap'}	{'None'}	{'No mutual structures'}	no structural evidence
Q15437-O94855	Q15436-O94855	yes	21	yes	758	['huMAP3_00065.1', 'huMAP3_07775.1', 'huMAP3_11128.1', 'huMAP3_13535.1', 'huMAP3_09282.1', 'huMAP3_00707.1', 'huMAP3_06453.1', 'huMAP3_12394.1', 'huMAP3_11237.1']	0.487	76.2093941749515	O94855	Q15437	Q15436	no	0.106	{'No overlap'}	{'5KYW', '5KYU', '5KYY', '3EFO', '5KYX', '3EG9'}	{'No mutual structures'}	no structural evidence
P61163-Q9UJW0	O00399-Q9UJW0	no	0	no	0	['huMAP3_09952.1', 'huMAP3_12900.1', 'huMAP3_04946.1']	0.304	83.06190066796573	Q9UJW0	P61163	O00399	no	0.268	{'None'}	{'No overlap'}	{'No mutual structures'}	no structural evidence
P62312-O15116	P62312-Q9Y333	yes	15	yes	83	['huMAP3_02465.1', 'huMAP3_08980.1', 'huMAP3_09187.1', 'huMAP3_15168.1']	0.48	87.5051689225498	P62312	Q9Y333	O15116	yes	0.282	{'No overlap'}	{'6AHD', '8QXD', '8R08', '3JCR', '8R09', '8R0B', '5O9Z', '8RM5', '8H6E', '6QX9', '8QO9', '8R0A', '8H6K', '6QW6', '7ABG', '8H6L', '8QZS', '8H6J', '6AH0'}	{'No mutual structures'}	no structural evidence
P61966-O43747	O43747-P56377	yes	55	yes	155	['huMAP3_08695.1', 'huMAP3_12376.1', 'huMAP3_06769.1', 'huMAP3_10876.1', 'huMAP3_10762.1', 'huMAP3_13055.1', 'huMAP3_06557.1', 'huMAP3_12394.1', 'huMAP3_12918.1']	0.728	91.14071091134018	O43747	P56377	P61966	no	0.056	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
P31150-P61106	P31150-P20338	yes	12	yes	198	['huMAP3_08941.1', 'huMAP3_11094.1', 'huMAP3_09217.1']	0.388	74.69707831055149	P31150	P20338	P61106	no	0.31	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
Q96B26-Q06265	Q06265-Q9NQT4	no	0	no	0	['huMAP3_05382.1', 'huMAP3_14264.1']	0.618	82.65094499043012	Q06265	Q96B26	Q9NQT4	no	0.712	{'2NN6', '6D6Q', '6D6R', '6H25'}	{'2NN6', '6D6Q', '6D6R', '6H25'}	{'2NN6', '6H25', '6D6Q', '6D6R'}	yes structural evidence
Q8TAQ2-Q92925	Q8TAQ2-Q6STE5	yes	33	yes	353	['huMAP3_03221.1', 'huMAP3_11470.1']	0.511	76.72492871182814	Q8TAQ2	Q92925	Q6STE5	no	0.166	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
Q9NRF9-Q9NRG0	Q9NRF9-Q9NR33	yes	47	yes	86	['huMAP3_04178.1', 'huMAP3_06746.1']	0.687	93.35477546860577	Q9NRF9	Q9NRG0	Q9NR33	yes	0.19	{'None'}	{'None'}	{'None'}	no structural evidence
P11908-O60256	P60891-P11908	yes	41	yes	343	['huMAP3_13128.1', 'huMAP3_10201.1', 'huMAP3_14146.1', 'huMAP3_11883.1', 'huMAP3_10941.1', 'huMAP3_12561.1']	0.701	89.70367531856076	P11908	O60256	P60891	yes	0.192	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
P39023-P83731	P39023-P46782	no	0	no	0	['huMAP3_09015.1', 'huMAP3_10538.1', 'huMAP3_05933.1', 'huMAP3_11966.1']	0.309	85.95041383441674	P39023	P83731	P46782	no	0.986	{'6IP6', '8G60', '6Y2L', '8QOI', '8Y0W', '6IP5', '6IP8', '6OLE', '6Y6X', '6ZME', '6W6L', '6OLG', '8OHD', '8GLP', '8G5Y', '8G61', '8JDL', '5AJ0', '7F5S', '8G6J', '8OJ5', '8OJ8', '6Z6L', '6Y0G', '8JDM', '6ZMO', '8JDJ', '8JDK', '5LKS', '6LSR', '4V6X', '8IFE', '6Y57', '8A3D', '6OLF', '6OM7', '4UG0', '6QZP', '6OLI', '6XA1', '6ZMI', '7BHP', '7XNX', '6Z6N', '8OJ0', '6Z6M', '5T2C', '8IFD', '8Y0X', '8QFD', '6LQM', '7XNY', '6ZM7', '6OM0', '6OLZ'}	{'6IP6', '8G60', '6Y2L', '8QOI', '8Y0W', '6OLE', '6IP5', '6IP8', '6ZME', '6OLG', '8GLP', '8G5Y', '8G61', '8G5Z', '8JDL', '5AJ0', '8G6J', '6Z6L', '6Y0G', '8JDM', '8JDJ', '6ZMO', '8JDK', '5LKS', '4V6X', '8IFE', '6Y57', '6OLF', '6OM7', '6QZP', '4UG0', '6OLI', '6XA1', '6ZMI', '7XNX', '6Z6N', '6Z6M', '5T2C', '8Y0X', '8IFD', '7XNY', '6ZM7', '6OM0', '6OLZ'}	{'6IP6', '8G60', '6Y2L', '8QOI', '8Y0W', '6OLE', '6IP5', '6IP8', '6ZME', '6OLG', '8GLP', '8G5Y', '8G61', '8JDL', '5AJ0', '8G6J', '6Z6L', '6Y0G', '8JDM', '8JDJ', '6ZMO', '8JDK', '5LKS', '4V6X', '8IFE', '6Y57', '6OLF', '6OM7', '6QZP', '4UG0', '6OLI', '6XA1', '6ZMI', '7XNX', '6Z6N', '6Z6M', '5T2C', '8Y0X', '8IFD', '7XNY', '6ZM7', '6OM0', '6OLZ'}	yes structural evidence
Q7L5N1-Q9BT78	Q9BT78-P61201	no	0	yes	13	['huMAP3_08550.1', 'huMAP3_09779.1', 'huMAP3_05041.1', 'huMAP3_14528.1']	0.291	80.93194082352902	Q9BT78	P61201	Q7L5N1	no	0.962	{'6R6H', '4D18', '6R7H', '6R7I', '8H3F', '4D10', '8H38', '6R7F', '4WSN', '8H3A'}	{'6R6H', '4D18', '6R7H', '6R7I', '8H3F', '6R7N', '4D10', '8H38', '6R7F', '4WSN', '8H3A'}	{'6R6H', '4D18', '8H3A', '6R7H', '6R7I', '8H3F', '4D10', '8H38', '4WSN', '6R7F'}	yes structural evidence
P36578-P18124	P36578-Q07020	no	0	no	0	['huMAP3_07654.1', 'huMAP3_10538.1', 'huMAP3_09015.1', 'huMAP3_11966.1']	0.555	91.10427755862912	P36578	Q07020	P18124	no	1.0	{'8G60', '8IE3', '6W6L', '8FKU', '8FKW', '6OLG', '8OHD', '8FKZ', '8G5Y', '8G5Z', '8FL3', '5AJ0', '8OJ5', '8JDM', '5LKS', '6LSR', '4V6X', '6LSS', '6QZP', '6Z6N', '5T2C', '7OW7', '6LQM', '8IDT', '8FKS', '8IPY', '8FL6', '6Y2L', '6OLE', '8FKV', '8IR3', '8JDL', '8FL9', '7F5S', '8IPD', '8OJ8', '6Y0G', '8JDJ', '8A3D', '6OM7', '4UG0', '8FLA', '6OLI', '6ZMI', '8Y0X', '8INK', '8QFD', '8FLE', '8FKP', '6ZM7', '6OM0', '6IP6', '6IP5', '6IP8', '8FL4', '8IDY', '8FLF', '8FLD', '8FLC', '8FLB', '6ZMO', '8JDK', '8INF', '6Y57', '8FL0', '7QVP', '8IPX', '7BHP', '6XA1', '6Z6M', '8INE', '6OLZ', '8FL2', '8Y0W', '6Y6X', '8FL7', '6ZME', '8GLP', '8G61', '8FKY', '8G6J', '8IR1', '6Z6L', '8FKT', '8FKR', '8IFE', '6OLF', '7XNX', '8OJ0', '8FKX', '8IFD', '8FKQ', '7XNY', '6LU8'}	{'8G60', '8IE3', '6W6L', '8FKU', '8FKW', '6OLG', '8OHD', '8FKZ', '8G5Y', '8G5Z', '8FL3', '5AJ0', '8OJ5', '8JDM', '5LKS', '6LSR', '4V6X', '6LSS', '6QZP', '6Z6N', '5T2C', '7OW7', '6LQM', '8IDT', '8FKS', '8IPY', '8FL6', '6Y2L', '8QOI', '6OLE', '8FKV', '8IR3', '8JDL', '8FL9', '7F5S', '8IPD', '8OJ8', '6Y0G', '8JDJ', '8A3D', '6OM7', '4UG0', '8FLA', '6OLI', '6ZMI', '8Y0X', '8INK', '8QFD', '8FLE', '8FKP', '6ZM7', '6OM0', '6IP6', '6IP5', '6IP8', '8FL4', '8IDY', '8FLF', '8FLD', '8FLC', '8FLB', '6ZMO', '8JDK', '8INF', '6Y57', '8FL0', '7QVP', '8IPX', '7BHP', '6XA1', '6Z6M', '8INE', '6OLZ', '8FL2', '8Y0W', '6Y6X', '8FL7', '6ZME', '8GLP', '8G61', '8FKY', '8G6J', '8IR1', '6Z6L', '8FKT', '8FKR', '8IFE', '6OLF', '7XNX', '8OJ0', '8FKX', '8IFD', '8FKQ', '7XNY', '6LU8'}	{'8G60', '8IE3', '6W6L', '8FKU', '8FKW', '6OLG', '8OHD', '8FKZ', '8G5Y', '8G5Z', '8FL3', '5AJ0', '8OJ5', '8JDM', '5LKS', '6LSR', '4V6X', '6LSS', '6QZP', '6Z6N', '5T2C', '7OW7', '6LQM', '8IDT', '8FKS', '8IPY', '8FL6', '6Y2L', '6OLE', '8FKV', '8IR3', '8JDL', '8FL9', '7F5S', '8IPD', '8OJ8', '6Y0G', '8JDJ', '8A3D', '6OM7', '4UG0', '8FLA', '6OLI', '6ZMI', '8Y0X', '8INK', '8QFD', '8FLE', '8FKP', '6ZM7', '6OM0', '6IP6', '6IP5', '6IP8', '8FL4', '8IDY', '8FLF', '8FLD', '8FLC', '8FLB', '6ZMO', '8JDK', '8INF', '6Y57', '8FL0', '7QVP', '8IPX', '7BHP', '6XA1', '6Z6M', '8INE', '6OLZ', '8FL2', '8Y0W', '6Y6X', '8FL7', '6ZME', '8GLP', '8G61', '8FKY', '8G6J', '8IR1', '6Z6L', '8FKT', '8FKR', '8IFE', '6OLF', '7XNX', '8OJ0', '8FKX', '8IFD', '8FKQ', '7XNY', '6LU8'}	yes structural evidence
Q8IY57-Q9BSM1	Q8IY57-Q99496	yes	10	yes	148	['huMAP3_09756.1', 'huMAP3_14051.1', 'huMAP3_10162.1']	0.293	77.60788542772879	Q8IY57	Q9BSM1	Q99496	no	0.154	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
P08237-Q01813	P17858-P08237	yes	53	yes	773	['huMAP3_14709.1', 'huMAP3_04277.1']	0.73	87.19993746013543	P08237	Q01813	P17858	yes	0.312	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
P19447-Q6P1K8	P19447-Q13888	yes	21	yes	219	['huMAP3_12429.1', 'huMAP3_09908.1', 'huMAP3_05174.1']	0.428	72.69046212788832	P19447	Q13888	Q6P1K8	no	0.138	{'No overlap'}	{'6O9L', '7NVR', '8EBV', '7AD8', '7LBM', '5IY8', '8EBT', '8WAQ', '8EBW', '5OF4', '6NMI', '8WAL', '8WAK', '8EBY', '8EBX', '5IY6', '6O9M', '8EBU', '8GXQ', '8WAR', '7NW0', '8WAP', '5IVW', '8BVW', '5IY9', '8WAN', '7EGC', '5IY7', '7NVW', '8GXS', '7ENA', '8WAS', '8EBS', '7NVY', '7NVX', '7NVZ', '8WAO', '7ENC', '7EGB', '6RO4', '8BYQ'}	{'No mutual structures'}	no structural evidence
P61758-O15212	Q9NQP4-P61758	no	0	no	0	['huMAP3_14626.1', 'huMAP3_14584.1', 'huMAP3_10942.1']	0.41	90.06711158979354	P61758	O15212	Q9NQP4	yes	0.948	{'6NRC', '6NR9', '6NR8', '6NRD', '6NRB', '7WU7'}	{'6NRC', '6NR9', '6NR8', '6NRD', '6NRB', '7WU7'}	{'6NRC', '6NR9', '6NR8', '6NRD', '6NRB', '7WU7'}	yes structural evidence
Q02543-P50914	Q02543-P46778	no	0	no	0	['huMAP3_07654.1', 'huMAP3_10538.1', 'huMAP3_09015.1', 'huMAP3_11966.1']	0.49	87.44343537077009	Q02543	P50914	P46778	no	1.0	{'8G60', '8IE3', '6W6L', '8FKU', '8FKW', '6OLG', '8OHD', '8FKZ', '8G5Y', '8G5Z', '8FL3', '5AJ0', '8OJ5', '8JDM', '5LKS', '6LSR', '4V6X', '6LSS', '6QZP', '6Z6N', '5T2C', '6LQM', '8IDT', '8FKS', '8IPY', '8FL6', '6Y2L', '8QOI', '6OLE', '8FKV', '8IR3', '8JDL', '8FL9', '7F5S', '8IPD', '8OJ8', '6Y0G', '8JDJ', '6OM7', '4UG0', '8FLA', '6OLI', '6ZMI', '8Y0X', '8INK', '8QFD', '8FLE', '8FKP', '6ZM7', '6OM0', '6IP6', '6IP5', '6IP8', '8FL4', '8IDY', '8FLF', '8FLD', '8FLC', '8FLB', '6ZMO', '8JDK', '8INF', '6Y57', '8FL0', '7QVP', '8IPX', '7BHP', '6XA1', '6Z6M', '8INE', '6OLZ', '8FL2', '8Y0W', '6Y6X', '8FL7', '6ZME', '8GLP', '8G61', '8FKY', '8G6J', '8IR1', '6Z6L', '8FKT', '8FKR', '8IFE', '6OLF', '7XNX', '8OJ0', '8FKX', '8IFD', '8FKQ', '7XNY', '6LU8'}	{'8G60', '8IE3', '6W6L', '8FKU', '8FKW', '6OLG', '8OHD', '8FKZ', '8G5Y', '8G5Z', '8FL3', '5AJ0', '8OJ5', '8JDM', '5LKS', '6LSR', '4V6X', '6LSS', '6QZP', '6Z6N', '5T2C', '7OW7', '6LQM', '8IDT', '8FKS', '8IPY', '8FL6', '6Y2L', '6OLE', '8FKV', '8IR3', '8JDL', '8FL9', '7F5S', '8IPD', '8OJ8', '6Y0G', '8JDJ', '8A3D', '6OM7', '4UG0', '8FLA', '6OLI', '6ZMI', '8Y0X', '8INK', '8QFD', '8FLE', '8FKP', '6ZM7', '6OM0', '6IP6', '6IP5', '6IP8', '8FL4', '8IDY', '8FLF', '8FLD', '8FLC', '8FLB', '6ZMO', '8JDK', '8INF', '6Y57', '8FL0', '7QVP', '8IPX', '7BHP', '6XA1', '6Z6M', '8INE', '6OLZ', '8FL2', '8Y0W', '6Y6X', '8FL7', '6ZME', '8GLP', '8G61', '8FKY', '8G6J', '8IR1', '6Z6L', '8FKT', '8FKR', '8IFE', '6OLF', '7XNX', '8OJ0', '8FKX', '8IFD', '8FKQ', '7XNY', '6LU8'}	{'8G60', '8IE3', '6W6L', '8FKU', '8FKW', '6OLG', '8OHD', '8FKZ', '8G5Y', '8G5Z', '8FL3', '5AJ0', '8OJ5', '8JDM', '5LKS', '6LSR', '4V6X', '6LSS', '6QZP', '6Z6N', '5T2C', '6LQM', '8IDT', '8FKS', '8IPY', '8FL6', '6Y2L', '6OLE', '8FKV', '8IR3', '8JDL', '8FL9', '7F5S', '8IPD', '8OJ8', '6Y0G', '8JDJ', '6OM7', '4UG0', '8FLA', '6OLI', '6ZMI', '8Y0X', '8INK', '8QFD', '8FLE', '8FKP', '6ZM7', '6OM0', '6IP6', '6IP5', '6IP8', '8FL4', '8IDY', '8FLF', '8FLD', '8FLC', '8FLB', '6ZMO', '8JDK', '8INF', '6Y57', '8FL0', '7QVP', '8IPX', '7BHP', '6XA1', '6Z6M', '8INE', '6OLZ', '8FL2', '8Y0W', '6Y6X', '8FL7', '6ZME', '8GLP', '8G61', '8FKY', '8G6J', '8IR1', '6Z6L', '8FKT', '8FKR', '8IFE', '6OLF', '7XNX', '8OJ0', '8FKX', '8IFD', '8FKQ', '7XNY', '6LU8'}	yes structural evidence
